y_true,y_pred
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,26
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,12
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,26
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,11
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,10
3,3
3,3
3,3
3,22
3,3
3,3
3,3
3,18
3,3
3,3
3,18
3,34
3,18
3,3
3,3
3,3
3,28
3,9
3,3
3,3
3,10
3,20
3,28
3,10
3,3
3,18
3,10
3,3
3,20
3,10
3,3
3,3
3,3
3,3
3,10
3,3
3,3
3,36
3,18
3,3
3,3
3,3
3,3
3,3
3,20
3,36
3,3
3,8
3,3
3,18
3,3
3,3
3,18
3,22
3,36
3,22
3,18
3,3
3,3
3,3
3,3
3,3
3,3
3,18
3,3
3,3
3,36
3,3
3,3
3,18
3,18
3,3
3,20
3,18
3,3
3,36
3,35
3,18
3,17
3,3
3,23
3,36
3,18
3,3
3,22
3,34
3,18
3,34
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,34
3,31
3,3
3,18
3,3
3,3
3,20
3,3
3,3
3,17
3,3
3,18
3,3
3,3
3,3
3,3
3,20
3,3
3,3
3,18
3,35
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,18
3,3
3,3
3,3
3,3
3,36
3,20
3,3
3,20
3,27
3,3
3,3
3,18
3,3
3,18
3,3
3,3
3,3
3,3
3,3
3,22
3,3
3,3
3,18
3,10
3,3
3,18
3,3
3,10
3,8
3,3
3,18
3,3
3,18
3,3
3,10
3,3
3,17
3,3
3,3
3,36
3,3
3,3
3,3
3,3
3,3
3,3
3,3
