y_true,y_pred
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,29
1,1
1,1
1,1
1,1
1,10
1,1
1,1
1,1
1,1
1,1
1,29
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,30
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,17
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,9
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,8
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,9
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,16
3,3
3,16
3,26
3,3
3,3
3,16
3,20
3,3
3,3
3,18
3,16
3,3
3,3
3,16
3,3
3,16
3,3
3,3
3,3
3,3
3,18
3,21
3,20
3,27
3,18
3,3
3,27
3,3
3,16
3,27
3,3
3,18
3,18
3,3
3,3
3,18
3,3
3,27
3,3
3,3
3,20
3,16
3,3
3,16
3,26
3,3
3,18
3,18
3,32
3,3
3,3
3,3
3,3
3,3
3,3
3,16
3,15
3,3
3,15
3,16
3,3
3,3
3,3
3,3
3,20
3,3
3,16
3,3
3,3
3,3
3,3
3,3
3,3
3,16
3,18
3,18
3,3
3,16
3,3
3,32
3,16
3,32
3,3
3,21
3,21
3,16
3,16
3,32
3,3
3,16
3,20
3,3
3,3
3,3
3,3
3,3
3,21
3,3
3,3
3,3
3,26
3,3
3,31
3,15
3,16
3,3
3,3
3,18
3,28
3,3
3,15
3,3
3,3
3,3
3,26
3,3
3,3
3,18
3,3
3,3
3,16
3,3
3,3
3,16
3,3
3,18
3,26
3,16
3,3
3,16
3,3
3,3
3,3
3,3
3,20
3,3
3,3
3,18
3,3
3,3
3,32
3,16
3,3
3,3
3,3
3,18
3,3
3,3
3,3
3,3
3,15
3,18
3,18
3,3
3,15
3,3
3,16
3,18
3,3
3,3
3,16
3,3
3,3
3,28
3,27
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,16
3,3
