y_true,y_pred
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,20
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,26
1,7
1,7
1,1
1,1
1,32
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,32
1,26
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,7
1,1
1,1
1,33
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,29
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,11
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,26
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,32
1,1
1,1
1,1
1,12
1,1
1,1
1,1
1,1
1,32
1,1
1,1
1,1
1,1
1,11
2,2
2,2
2,2
2,2
2,11
2,2
2,2
2,2
2,2
2,18
2,4
2,2
2,11
2,2
2,2
2,18
2,11
3,18
3,3
3,3
3,3
3,31
3,3
3,31
3,28
3,28
3,3
3,3
3,3
3,33
3,3
3,22
3,31
3,3
3,28
3,31
3,3
3,18
3,35
3,18
3,36
3,3
3,32
3,20
3,22
3,30
3,3
3,27
3,30
3,3
3,18
3,10
3,28
3,20
3,10
3,28
3,3
3,20
3,18
3,31
3,20
3,20
3,33
3,31
3,31
3,20
3,11
3,20
3,20
3,20
3,10
3,34
3,28
3,3
3,3
3,3
3,20
3,31
3,3
3,3
3,17
3,18
3,31
3,20
3,3
3,20
3,33
3,18
3,18
3,20
3,3
3,20
3,18
3,3
3,28
3,18
3,18
3,20
3,3
3,3
3,17
3,27
3,18
3,3
3,22
3,10
3,10
3,31
3,31
3,17
3,34
3,18
3,28
3,36
3,28
3,20
3,20
3,3
3,3
3,20
3,20
3,31
3,28
3,22
3,34
3,3
3,31
3,3
3,28
3,20
3,34
3,20
3,28
3,20
3,3
3,3
3,20
3,3
3,28
3,20
3,3
3,3
3,18
3,20
3,18
3,20
3,3
3,20
3,22
3,18
3,3
3,20
3,18
3,3
3,31
3,20
3,36
3,20
3,3
3,17
3,20
3,34
3,22
3,18
3,3
3,3
3,18
3,18
3,3
3,20
3,20
3,3
3,17
3,31
3,20
3,3
3,22
3,18
3,18
3,20
3,34
3,3
3,18
3,3
3,3
3,31
3,10
3,20
3,22
3,20
3,3
3,18
3,28
3,3
3,2
3,31
3,3
3,18
3,3
